City,Country,Current Description,Max Temp,Lat,Lng,Hotel Name
Kasiri,SL,overcast clouds,77.18,8.9412,-13.1148,
Kahului,US,few clouds,78.82,20.8947,-156.47,Maui Seaside Hotel
Harindanga,IN,clear sky,84.18,22.0383,88.3214,Hasanur Builders
Cabedelo,BR,broken clouds,77.67,-6.9811,-34.8339,Hotel Pigalle
Luganville,VU,scattered clouds,80.51,-15.5333,167.1667,The Espiritu Hotel
Mareeba,AU,broken clouds,88.45,-17.0,145.4333,Trinity Plains Tourist Park
Jobat,IN,few clouds,79.48,22.4167,74.5667,Singh house
Eagle Pass,US,few clouds,75.27,28.7091,-100.4995,"Holiday Inn Express & Suites Eagle Pass, an IHG Hotel"
Wanning,CN,scattered clouds,78.89,18.8003,110.3967,Paradise Hotel
Ormara,PK,clear sky,84.09,25.2088,64.6357,Crystal Beach and Camping Resort Ormara
Bonfim,BR,broken clouds,78.31,3.0833,-59.95,
Sinnamary,GF,broken clouds,78.31,5.3833,-52.95,ALETHEIA Appartement Sinnamary
Corredor,CR,overcast clouds,79.5,8.64,-82.946,Hotel Fortuna Verde
Nkhotakota,MW,clear sky,82.17,-12.9274,34.2961,Sitima Inn
Lasalgaon,IN,scattered clouds,78.84,20.15,74.2333,Dhanraj Hotel
Vila Do Maio,CV,overcast clouds,77.79,15.1333,-23.2167,Hotel Marilu
Tarakan,ID,broken clouds,89.1,3.3,117.6333,RedDoorz Syariah near Taman Berlabuh Tarakan
Taoudenni,ML,clear sky,75.11,22.6783,-3.9836,
Sambava,MG,light rain,79.34,-14.2667,50.1667,Melrose
Olinda,BR,scattered clouds,80.33,-8.0089,-34.8553,Hotel Albergue de Olinda
Corn Island,NI,overcast clouds,82.42,12.1694,-83.0418,Big Fish Guest House
Padang,ID,light rain,86.05,-0.9492,100.3543,Mercure Padang
San Rafael Del Sur,NI,broken clouds,76.17,11.8485,-86.4384,Hospedaje El Chino
Sitio Novo Do Tocantins,BR,clear sky,80.53,-5.5183,-47.4611,Imperial Hotel
Yulara,AU,few clouds,87.64,-25.2406,130.9889,Desert Gardens Hotel - Ayers Rock Resort
Humberto De Campos,BR,overcast clouds,75.7,-2.5983,-43.4611,Pousada do Cabeça
Phaltan,IN,broken clouds,81.73,17.9833,74.4333,Hotel New Vijay
Tabat,ID,overcast clouds,88.81,-2.635,115.2274,Perumahan PNS Senga Permai
Wahiawa,US,few clouds,77.32,21.5028,-158.0236,Aloha Wahiawa
Karratha,AU,clear sky,80.46,-20.7377,116.8463,ibis Styles Karratha
Alice Springs,AU,scattered clouds,85.55,-23.7,133.8833,Desert Palms Alice Springs
Porto Novo,BJ,overcast clouds,76.82,6.4965,2.6036,Tour Eiffel Hotel Benin
Marabba,SD,overcast clouds,85.87,12.35,32.1833,
Brokopondo,SR,overcast clouds,75.81,4.75,-55.1667,Matu Island
Marsh Harbour,BS,clear sky,76.1,26.5412,-77.0636,Abaco Beach Resort
Lethem,GY,broken clouds,75.67,3.3803,-59.7968,Savannah Inn
Maceio,BR,scattered clouds,76.44,-9.6658,-35.7353,Poutur Pousada
Aswan,EG,overcast clouds,80.4,24.0934,32.907,Nuba Nile
Victoria Point,AU,overcast clouds,76.48,-27.5833,153.3,Bay Retreat Motel
Nyimba,ZM,clear sky,84.29,-14.5566,30.8149,Dali Dali Lodge
Matara,LK,overcast clouds,81.86,5.9485,80.5353,Amaloh Boutique Resort
Licheng,CN,overcast clouds,78.73,23.2955,113.8284,Xincheng Tourism Industry
Mazagao,BR,broken clouds,82.45,-0.115,-51.2894,Recanto dos Ferreiras
Weligama,LK,overcast clouds,81.34,5.9667,80.4167,Weligama Bay Resort
Madarounfa,NE,broken clouds,77.49,13.3087,7.156,Madarounfa centre ville
Nishihara,JP,scattered clouds,80.26,26.1842,127.7558,Minshuku Agaihama
Narrabri,AU,overcast clouds,77.09,-30.3167,149.7833,Crossroads Hotel
Saint-Paul,RE,clear sky,80.01,-21.0096,55.2707,Boucan Canot
San Patricio,US,clear sky,75.81,28.017,-97.5169,"Motel 6 Sinton, TX"
Chalisgaon,IN,scattered clouds,80.19,20.4667,75.0167,Shree Datta
Kloulklubed,PW,overcast clouds,86.5,7.0419,134.2556,Storyboard Beach Resort
Papetoai,PF,few clouds,80.19,-17.4961,-149.8729,Fare Vaihere
Rantepao,ID,overcast clouds,84.96,-2.9701,119.8978,Hotel Luta Resort
Vanimo,PG,overcast clouds,77.25,-2.6741,141.3028,Vahmoneh Lodge Vanimo
Tecoanapa,MX,few clouds,76.55,16.5167,-98.75,Hotel Manglares
Sao Jose Da Coroa Grande,BR,broken clouds,76.05,-8.8978,-35.1478,Crôa Mares Hotel
Alofi,NU,broken clouds,78.69,-19.0595,-169.9187,Taloa Heights
Kavaratti,IN,overcast clouds,82.09,10.5669,72.642,Hotels in Lakshadweep Islands
Parrita,CR,overcast clouds,81.99,9.5201,-84.3225,Beso del Viento
Kieta,PG,light rain,81.86,-6.2167,155.6333,Uruna Bay Retreat
Faanui,PF,broken clouds,79.23,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
Les Cayes,HT,clear sky,75.54,18.2,-73.75,Villa Orphee
